neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,days_before_latest_review,reviews_per_month,calculated_host_listings_count,availability_365
4,1.31444,103.88709,3,85,5,41,26.0,0.5822156198526637,67,123
11,1.31539,103.82586,3,281,7,29,41.0,0.3920420877760237,19,362
4,1.31131,103.88343,2,60,1,47,25.0,0.5877866649021191,37,346
4,1.31372,103.88716,3,85,4,72,15.0,0.8628899551470398,67,69
10,1.28278,103.8445,1,31,1,44,16.0,0.5709795465857378,13,363
10,1.28332,103.8433,1,31,1,18,15.0,0.2700271372130602,13,365
15,1.29088,103.83891,2,115,2,0,1887.0,0.0,1,0
13,1.31718,103.84287,2,89,2,13,1111.0,0.19885085874516517,2,355
2,1.27254,103.8337,3,306,2,188,18.0,1.425515074273172,1,324
11,1.29312,103.82979,3,218,2,289,12.0,1.7749523509116738,1,231
12,1.31409,103.87213,3,249,1,98,22.0,0.9707789171582247,7,351
13,1.32419,103.85284,3,237,5,26,579.0,0.36464311358790924,203,261
11,1.31566,103.82666,3,118,7,48,8.0,0.5933268452777344,19,348
5,1.29671,103.83999,2,94,1,100,42.0,0.9969486348916096,48,336
8,1.30789,103.89646,3,164,14,4,1157.0,0.06765864847381486,1,0
1,1.33347,103.78634,3,208,1,0,1887.0,0.0,1,0
4,1.31503,103.88605,3,94,1,55,44.0,0.6678293725756554,67,69
11,1.29377,103.82844,3,160,30,170,368.0,1.3987168811184478,1,0
12,1.32712,103.86468,3,131,3,36,32.0,0.4885800148186709,1,340
2,1.27303,103.82783,2,89,10,1,550.0,0.04879016416943204,1,0
9,1.33078,103.86782,3,219,1,0,1887.0,0.0,1,0
4,1.31025,103.88326,2,60,1,109,15.0,1.0508216248317612,37,333
4,1.31107,103.88292,2,60,1,102,14.0,1.0043016091968684,37,346
4,1.31045,103.88114,2,60,1,187,15.0,1.4350845252893227,37,324
6,1.30115,103.8479,3,224,5,0,1887.0,0.0,1,0
3,1.30475,103.84032,2,99,3,6,38.0,0.10436001532424286,18,364
14,1.27522,103.84696,3,387,2,148,11.0,1.2781522025001875,14,287
10,1.28142,103.84522,3,250,1,2,1340.0,0.03922071315328133,1,0
13,1.32546,103.8519,3,149,3,28,411.0,0.3987761199573678,203,257
4,1.31473,103.88733,3,92,7,33,134.0,0.4824261492442928,67,49
12,1.29775,103.88341,3,100,90,4,1575.0,0.06765864847381486,1,209
11,1.31652,103.82739,3,240,7,15,11.0,0.23111172096338664,19,329
2,1.27804,103.80806,3,81,1,0,1887.0,0.0,1,0
14,1.29561,103.8543,3,181,7,40,10.0,0.5247285289349821,40,358
4,1.31017,103.88253,2,60,1,49,15.0,0.6151856390902335,37,304
2,1.2843,103.83254,3,181,2,14,1199.0,0.22314355131420976,1,0
12,1.30706,103.86326,2,131,30,6,451.0,0.10436001532424286,2,365
13,1.3218,103.84266,2,69,1,15,2.0,0.23111172096338664,2,211
4,1.31528,103.88817,3,87,5,19,119.0,0.28517894223366247,67,74
13,1.3258,103.85426,3,201,3,9,469.0,0.14842000511827322,203,275
10,1.28272,103.84707,2,160,180,0,1887.0,0.0,1,365
6,1.30211,103.85189,3,287,2,152,0.0,1.2947271675944,3,217
9,1.34151,103.84163,2,75,3,15,36.0,0.30010459245033816,18,256
14,1.28895,103.85033,3,150,7,117,7.0,1.1052568313867783,40,364
4,1.30972,103.88266,2,60,1,63,16.0,0.7371640659767196,37,348
5,1.29702,103.84145,2,119,2,1,1699.0,0.01980262729617973,1,0
4,1.31368,103.88597,3,85,4,49,23.0,0.6365768290715511,67,67
4,1.31316,103.88735,3,94,15,73,27.0,0.8197798314933114,84,64
4,1.31161,103.88143,2,90,2,82,20.0,0.887891257352457,37,358
7,1.30489,103.78451,2,81,1,2,1443.0,0.03922071315328133,1,0
5,1.29238,103.83978,3,287,4,3,1293.0,0.04879016416943204,1,0
4,1.31307,103.88623,3,119,10,23,191.0,0.3364722366212129,84,88
4,1.31464,103.88642,3,85,4,80,14.0,0.8754687373538999,84,55
4,1.3145,103.88607,3,94,5,76,24.0,0.8415671856782188,84,75
4,1.32962,103.88684,2,49,1,0,1887.0,0.0,1,0
5,1.29887,103.83603,2,146,1,0,1887.0,0.0,1,365
4,1.31102,103.88139,2,60,1,36,128.0,0.4885800148186709,37,365
4,1.3096,103.88166,2,60,1,57,32.0,0.688134638736401,37,352
4,1.31045,103.88148,2,60,1,39,16.0,0.5247285289349821,37,353
10,1.28175,103.84433,3,132,2,74,15.0,0.8372475245337022,12,341
11,1.31761,103.8264,3,319,7,18,122.0,0.27763173659827955,19,356
7,1.30008,103.79455,3,269,5,1,1702.0,0.01980262729617973,1,0
8,1.29704,103.8886,3,215,4,5,1461.0,0.08617769624105241,1,0
17,1.29929,103.84774,2,110,90,4,1122.0,0.08617769624105241,2,281
3,1.30479,103.83518,3,281,2,21,23.0,0.34358970439007686,38,358
1,1.33108,103.76853,2,78,5,27,376.0,0.43178241642553783,3,307
1,1.33179,103.7664,2,87,5,18,328.0,0.30748469974796055,3,269
16,1.30352,103.83483,3,319,1,13,22.0,0.23901690047049992,38,358
14,1.27414,103.84596,3,200,70,3,737.0,0.058268908123975824,3,364
10,1.2851,103.84195,2,42,90,1,999.0,0.02955880224154443,83,365
10,1.28614,103.8421,2,99,90,2,572.0,0.06765864847381486,83,326
9,1.33305,103.87235,1,46,180,0,1887.0,0.0,1,365
4,1.31481,103.88611,3,119,14,19,169.0,0.30010459245033816,84,89
16,1.3069,103.83188,2,125,1,0,1887.0,0.0,1,0
18,1.35418,103.8336,2,60,1,3,25.0,0.20701416938432612,9,356
12,1.31536,103.86045,2,150,1,0,1887.0,0.0,9,364
4,1.31114,103.88278,2,90,1,150,15.0,1.3029127521808397,37,337
10,1.28508,103.84292,1,25,2,0,1887.0,0.0,1,0
10,1.28361,103.84276,2,58,90,168,29.0,1.3837912309017721,2,126
5,1.29582,103.84221,3,119,28,6,153.0,0.11332868530700327,84,50
15,1.2873,103.84894,3,186,7,85,12.0,0.9400072584914712,40,363
11,1.31671,103.82831,3,144,7,18,119.0,0.28517894223366247,19,0
4,1.31091,103.88131,2,60,1,63,17.0,0.7514160886839212,37,342
4,1.3103,103.88191,2,60,1,35,24.0,0.4885800148186709,37,350
5,1.29435,103.83551,2,125,1,1,1684.0,0.01980262729617973,1,0
7,1.30505,103.79822,2,82,4,3,348.0,0.0769610411361284,1,365
9,1.3293,103.85402,2,50,1,0,1887.0,0.0,1,0
4,1.31553,103.88662,3,181,5,62,25.0,0.7747271675523681,84,34
6,1.30722,103.85733,1,37,1,0,1887.0,0.0,1,0
12,1.31408,103.854,2,92,1,8,784.0,0.13976194237515863,9,266
6,1.30147,103.84732,3,100,5,1,1620.0,0.01980262729617973,67,0
2,1.27546,103.84014,3,158,6,3,15.0,0.058268908123975824,4,363
12,1.31403,103.84667,2,60,1,3,1473.0,0.04879016416943204,1,0
13,1.31977,103.85305,3,300,7,25,128.0,0.371563556432483,203,275
12,1.31326,103.85289,3,390,1,157,1.0,1.3737155789130306,9,265
11,1.29611,103.82991,2,69,21,16,23.0,0.27763173659827955,4,141
2,1.28257,103.83125,2,132,2,2,613.0,0.03922071315328133,1,362
4,1.31153,103.88118,2,60,1,17,37.0,0.27763173659827955,37,347
4,1.31105,103.88313,2,60,1,55,22.0,0.6931471805599453,37,342
13,1.31445,103.84049,2,208,1,0,1887.0,0.0,1,0
10,1.28095,103.84155,3,164,2,5,848.0,0.11332868530700327,1,0
18,1.35376,103.83178,2,49,3,70,183.0,0.8197798314933114,3,0
3,1.30634,103.84011,3,160,3,76,13.0,0.9669838461896731,6,158
6,1.30163,103.84839,3,137,7,18,106.0,0.27763173659827955,203,361
18,1.35426,103.82829,2,49,3,61,184.0,0.7466879474879753,3,0
2,1.27599,103.8406,3,158,6,6,49.0,0.11332868530700327,4,340
13,1.32669,103.84227,3,300,10,31,30.0,0.44468582126144574,203,365
4,1.31537,103.88546,2,154,1,0,1887.0,0.0,1,364
10,1.27962,103.83986,3,250,3,41,17.0,0.5596157879354227,9,65
12,1.3151,103.8585,3,81,29,9,51.0,0.1570037488096647,3,211
4,1.3114,103.88322,2,60,1,25,15.0,0.3852624007906449,37,353
12,1.31779,103.85225,3,224,30,13,619.0,0.23111172096338664,3,365
11,1.31539,103.82758,3,149,7,14,341.0,0.23901690047049992,19,0
6,1.30244,103.84733,3,90,5,9,40.0,0.1570037488096647,67,55
13,1.32611,103.84476,3,300,14,42,94.0,0.5709795465857378,203,365
12,1.31665,103.85351,2,62,1,0,1887.0,0.0,2,0
